index;batch;product;date;month;quarter;year;year_quarter;api_reference;api_water;api_impurities;api_content;api_d10;api_d50;api_d90;lactose_water;smcc_water;smcc_d10;smcc_d50;smcc_d90;starch_water;SREL;compforce_mean;compforce_std;tensile_strengh;thickness;mass;hardness;yield;dissolution;impurities
11;B011;Product 1;05/11/2018;11;Q4;2018;2018-Q4;Ref_5;1.53;0.25;94.5;1.27;18.52;109.999;0.05;4.251;31.156;112.141;245.499;3.012;3.449759615;3.759375;0.053142804;1.351276649;3.4;112;44;98.106;95;0.36
12;B012;Product 1;05/11/2018;11;Q4;2018;2018-Q4;Ref_5;1.53;0.25;94.5;1.27;18.52;109.999;0.05;4.251;31.156;112.141;245.499;3.012;3.329656863;3.766911765;0.052033704;1.412698315;3.4;113.5;46;96.591;100.33;0.31
13;B013;Product 1;05/11/2018;11;Q4;2018;2018-Q4;Ref_5;1.53;0.25;94.5;1.27;18.52;109.999;0.05;4.251;31.156;112.141;245.499;3.012;3.309964413;3.66737841;0.050093811;1.351276649;3.4;113.5;44;98.864;94.5;0.37
14;B014;Product 1;06/11/2018;11;Q4;2018;2018-Q4;Ref_5;1.53;0.25;94.5;1.27;18.52;109.999;0.05;4.251;31.156;112.141;245.499;3.012;3.316037736;4.054363208;0.054370457;1.535541647;3.4;113;50;100;100;0.31
15;B015;Product 1;06/11/2018;11;Q4;2018;2018-Q4;Ref_5;1.53;0.25;94.5;1.27;18.52;109.999;0.05;4.251;31.156;112.141;245.499;3.012;3.351025332;3.665138721;0.051809166;1.320565816;3.4;113.5;43;96.97;93.67;0.3
16;B016;Product 2;07/11/2018;11;Q4;2018;2018-Q4;Ref_1;1.64;0.05;94.6;1.21;18.06;132.505;0.05;4.251;31.156;112.141;245.499;3.012;5.26422851;4.026699893;0.343326991;1.658384979;3.3;112.5;54;98.485;94.83;0.05
17;B017;Product 2;07/11/2018;11;Q4;2018;2018-Q4;Ref_1;1.64;0.05;94.6;1.21;18.06;132.505;0.05;4.251;31.156;112.141;245.499;3.012;5.794021931;3.380650867;0.299667604;1.637852593;3.4;112;54;99.195;90;0.05
18;B018;Product 2;07/11/2018;11;Q4;2018;2018-Q4;Ref_1;1.64;0.05;94.6;1.21;18.06;132.505;0.05;4.251;31.156;112.141;245.499;3.012;5.834681264;3.154070281;0.061080117;1.498688647;3.4;112.5;48;99.337;91.83;0.05
19;B019;Product 3;08/11/2018;11;Q4;2018;2018-Q4;Ref_1;1.68;0.05;94.5;1.76;31.55;136.534;0.05;4.719;37.615;126.114;261.773;3.012;4.035581395;6.256605089;0.118726585;1.1319162;4;223;59;99.1;89.67;0.05
20;B020;Product 3;09/11/2018;11;Q4;2018;2018-Q4;Ref_1;1.68;0.05;94.5;1.76;31.55;136.534;0.05;4.719;37.615;126.114;261.773;3.012;4.174737188;5.459422809;0.116789877;0.982936227;4;223.5;50;98.485;87.5;0.05
21;B021;Product 3;09/11/2018;11;Q4;2018;2018-Q4;Ref_1;1.9;0.05;94.3;1.95;38.01;143.904;0.05;4.719;37.615;126.114;261.773;3.012;4.064939987;5.76074896;0.110019678;1.06804412;4.1;224;55;99.242;91;0.05
22;B022;Product 4;09/11/2018;11;Q4;2018;2018-Q4;Ref_1;1.9;0.05;94.3;1.95;38.01;143.904;0.05;4.719;37.615;126.114;261.773;3.012;4.243383422;9.052641784;0.275708331;1.07336636;5.3;452.5;91;98.004;86.5;0.08
23;B023;Product 4;09/11/2018;11;Q4;2018;2018-Q4;Ref_1;1.9;0.05;94.3;1.95;38.01;143.904;0.05;4.719;37.615;126.114;261.773;3.012;4.391912833;9.130474806;0.291778718;1.093618555;5.3;454.5;91;97.848;84.67;0.08
24;B024;Product 4;09/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.38;0.05;93.9;1.78;35.1;155.803;0.05;4.719;37.615;126.114;261.773;3.012;4.214217557;9.458206107;0.164540084;1.13999641;5.2;450.5;94;98.979;89.67;0.08
25;B025;Product 4;10/11/2018;11;Q4;2018;2018-Q4;Ref_1;1.81;0.05;94.4;1.82;33.76;140.346;0.05;4.719;37.615;126.114;261.773;3.012;4.589941691;10.26054422;0.166983286;1.153707487;5.3;451;96;98.004;89.67;0.07
39;B039;Product 4;10/11/2018;11;Q4;2018;2018-Q4;Ref_3;1.84;0.36;93.9;3.8;47.81;170.36;0.05;4.719;37.615;126.114;261.773;3.012;5.836640041;9.350592784;0.219832975;1.016025169;5.3;450;87;96.694;83.5;0.07
26;B026;Product 1;11/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;3.012;3.640671642;4.949253731;0.053629793;1.640609921;3.3;112.5;51;94.318;97.33;0.09
27;B027;Product 1;11/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;3.012;3.724637681;5.45821256;0.062728707;1.835204926;3.3;112.5;58;96.97;94.33;0.09
28;B028;Product 1;11/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;3.012;3.918660287;5.056220096;0.066003588;1.771921997;3.3;112;56;97.727;93.83;0.07
29;B029;Product 1;12/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;3.012;3.778205128;4.952037253;0.058176794;1.640609921;3.3;112.5;51;99.242;95.33;0.07
30;B030;Product 1;13/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;3.012;3.956057007;4.354394299;0.058200738;1.504830814;3.4;112;49;98.106;96.5;0.09
31;B031;Product 1;13/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;3.012;3.791137725;4.660598802;0.058495328;1.504830814;3.4;112;49;97.727;94.67;0.07
32;B032;Product 1;14/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;3.012;3.984173505;4.354161782;0.059514129;1.474119981;3.4;113;48;99.621;96.17;0.09
33;B033;Product 1;15/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;3.012;3.70373494;4.859277108;0.05406923;1.447596989;3.3;112;45;96.591;92.33;0.06
34;B034;Product 1;15/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;3.012;3.843697479;4.658943577;0.05940278;1.608441099;3.3;111.5;50;96.97;94.17;0.07
35;B035;Product 1;16/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;3.012;3.804631829;4.758788599;0.056450334;1.623579368;3.3;112.5;52;98.106;94.83;0.06
36;B036;Product 1;16/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;3.012;3.946144721;5.053262159;0.065192289;1.779692769;3.3;113.5;57;99.242;96.17;0.07
37;B037;Product 1;16/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;3.012;4.000481348;4.759085439;0.060608411;1.704947565;3.3;111.5;53;96.591;97.67;0.07
40;B040;Product 1;17/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;2.605;4.092464115;4.656818182;0.060843732;1.608441099;3.3;113.5;50;97.727;96.33;0.08
41;B041;Product 1;17/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;2.605;4.213598075;4.454632972;0.06801544;1.373797927;3.3;113;44;96.212;93.5;0.08
42;B042;Product 1;17/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;2.605;4.059263658;5.953800475;0.099061221;1.962298141;3.3;113.5;61;98.106;98.33;0.11
43;B043;Product 1;18/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;2.605;4.045476478;5.152231604;0.077618318;1.640609921;3.3;113;51;96.591;94;0.09
44;B044;Product 1;18/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;2.605;4.102990431;5.149282297;0.085678478;1.608441099;3.3;113.5;50;98.485;92.83;0.09
45;B045;Product 1;19/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;2.605;4.163516746;4.953229665;0.075035161;1.576272277;3.3;113.5;49;97.727;94;0.09
46;B046;Product 1;19/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;2.605;4.222884386;5.05601907;0.080475197;1.640609921;3.3;113;51;98.106;96.17;0.1
47;B047;Product 1;21/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;2.605;4.187096774;5.256272401;0.077332702;1.640609921;3.3;114;51;97.727;96;0.08
48;B048;Product 1;21/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;2.605;4.178229665;4.859449761;0.069172585;1.479765811;3.3;114;46;97.348;95;0.11
49;B049;Product 1;21/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;2.605;4.294026284;5.055555556;0.068534442;1.511934633;3.3;114;47;97.727;91.83;0.1
50;B050;Product 1;21/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;2.605;4.306413302;5.053206651;0.071806501;1.511934633;3.3;114;47;98.106;90;0.1
51;B051;Product 1;22/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;2.605;4.234282325;5.156820878;0.06600475;1.576272277;3.3;113;49;98.864;91.67;0.1
52;B052;Product 1;22/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;2.605;4.23852657;5.152536232;0.063974318;1.640609921;3.3;113.5;51;96.97;90.5;0.09
53;B053;Product 1;22/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;2.605;4.246445498;5.152014218;0.060705381;1.672778743;3.3;114;52;98.864;92.83;0.1
54;B054;Product 1;23/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;2.605;4.202517986;4.956354916;0.057887158;1.576272277;3.3;113;49;97.348;92.5;0.11
55;B055;Product 1;23/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;2.605;4.449575758;4.857090909;0.060749947;1.769285209;3.3;113;55;95.833;96;0.1
56;B056;Product 1;24/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.04;0.05;94.2;2.65;54.96;171.579;0.05;4.719;37.615;126.114;261.773;2.605;4.142601432;4.861455847;0.065446028;1.544103455;3.3;112.5;48;97.348;95.83;0.1
57;B057;Product 2;24/11/2018;11;Q4;2018;2018-Q4;Ref_1;1.68;0.05;94.4;1.27;13.62;118.705;0.05;4.719;37.615;126.114;261.773;2.605;5.996473285;4.050978663;0.093954911;1.717247409;3.3;112.5;55;97.727;89.5;0.05
58;B058;Product 2;25/11/2018;11;Q4;2018;2018-Q4;Ref_1;1.68;0.05;94.4;1.27;13.62;118.705;0.05;4.719;37.615;126.114;261.773;2.605;5.718486808;3.755293088;0.082961656;1.561134008;3.4;111.5;50;98.248;90.5;0.05
59;B059;Product 2;26/11/2018;11;Q4;2018;2018-Q4;Ref_1;1.68;0.05;94.4;1.27;13.62;118.705;0.05;4.719;37.615;126.114;261.773;2.605;4.732795979;4.352834113;0.055856964;1.529911328;3.3;110.5;49;99.242;90.83;0.05
60;B060;Product 3;26/11/2018;11;Q4;2018;2018-Q4;Ref_1;2.16;0.05;94.1;2.42;49.43;158.215;0.05;4.719;37.615;126.114;261.773;2.605;6.486809907;5.965186246;0.382038557;0.978141416;4.1;224;51;97.538;86.33;0.05
61;B061;Product 4;26/11/2018;11;Q4;2018;2018-Q4;Ref_5;1.08;0.2;95;1.36;28.22;144.887;0.05;4.719;37.615;126.114;261.773;2.605;5.642805848;9.465469472;0.129637174;1.070891851;5.3;450;90;97.521;90.33;0.28
73;B073;Product 3;27/11/2018;11;Q4;2018;2018-Q4;Ref_5;1.67;0.25;94.4;1.4;25.09;125.568;0.05;4.719;37.615;126.114;261.773;2.605;6.039544139;5.560753077;0.113815067;0.99732066;4.1;226.5;52;97.491;91.5;0.32
74;B074;Product 3;27/11/2018;11;Q4;2018;2018-Q4;Ref_5;1.91;0.24;94.1;1.45;18.76;115.7;0.05;4.719;37.615;126.114;261.773;2.605;4.625;5.25712766;0.112292904;0.901424442;4.1;224.5;47;99.432;91.5;0.32
75;B075;Product 3;27/11/2018;11;Q4;2018;2018-Q4;Ref_5;1.91;0.24;94.1;1.45;18.76;115.7;0.05;4.719;37.615;126.114;261.773;2.605;4.48579627;5.461370158;0.105312026;0.978141416;4.1;226;51;98.532;90.83;0.23
76;B076;Product 3;27/11/2018;11;Q4;2018;2018-Q4;Ref_5;1.91;0.24;94.1;1.45;18.76;115.7;0.05;4.719;37.615;126.114;261.773;2.605;4.893634424;5.460561878;0.10728749;0.99732066;4.1;226.5;52;99.479;92.17;0.21
62;B062;Product 2;28/11/2018;11;Q4;2018;2018-Q4;Ref_5;1.91;0.24;94.1;1.45;18.76;115.7;0.05;4.719;37.615;126.114;261.773;2.605;2.993786305;8.158802817;0.099885354;1.701401026;2.9;113.5;55;98.438;98.33;0.24
63;B063;Product 2;28/11/2018;11;Q4;2018;2018-Q4;Ref_5;1.91;0.24;94.1;1.45;18.76;115.7;0.05;4.719;37.615;126.114;261.773;2.605;2.942791842;7.456021866;0.548689613;1.515793642;2.9;113.5;49;97.254;97.33;0.24
64;B064;Product 3;01/12/2018;12;Q4;2018;2018-Q4;Ref_5;1.91;0.24;94.1;1.45;18.76;115.7;0.05;4.719;37.615;126.114;261.773;2.605;4.444538706;10.36320255;0.133576873;0.969143546;3.8;225.5;54;98.816;92.17;0.29
65;B065;Product 3;05/12/2018;12;Q4;2018;2018-Q4;Ref_5;2.26;0.18;93.9;1.65;45.13;198.63;0.05;4.719;37.615;126.114;261.773;2.605;3.963844797;10.35982363;0.118407916;1.086744298;3.8;226;59;99.242;92.33;0.21
66;B066;Product 3;07/12/2018;12;Q4;2018;2018-Q4;Ref_5;2.26;0.18;93.9;1.65;45.13;198.63;0.05;4.719;37.615;126.114;261.773;2.605;4.369189954;9.36370711;0.186710214;1.005698961;3.8;226.5;54;98.674;92.83;0.26
67;B067;Product 3;08/12/2018;12;Q4;2018;2018-Q4;Ref_5;2.26;0.18;93.9;1.65;45.13;198.63;0.05;4.719;37.615;126.114;261.773;2.605;4.229363958;9.463886926;0.17257049;1.005698961;3.8;227.5;54;99.384;88.67;0.21
68;B068;Product 3;10/12/2018;12;Q4;2018;2018-Q4;Ref_5;2.26;0.18;93.9;1.65;45.13;198.63;0.05;4.719;37.615;126.114;261.773;2.605;4.268811881;9.761138614;0.1590998;1.04294707;3.8;225.5;56;99.242;88.83;0.2
69;B069;Product 3;19/12/2018;12;Q4;2018;2018-Q4;Ref_5;2.26;0.18;93.9;1.65;45.13;198.63;0.05;4.719;37.615;126.114;261.773;2.605;4.558474576;9.657521186;0.151758559;1.061571125;3.8;224;57;98.958;91.17;0.26
70;B070;Product 2;20/12/2018;12;Q4;2018;2018-Q4;Ref_5;2.01;0.19;94.1;1.52;31.7;163.707;0.05;4.719;37.615;126.114;261.773;2.605;3.745856643;4.959436768;0.46186318;1.672778743;3.3;112.5;52;98.674;94.5;0.26
71;B071;Product 2;24/12/2018;12;Q4;2018;2018-Q4;Ref_5;2.01;0.19;94.1;1.52;31.7;163.707;0.05;4.719;37.615;126.114;261.773;2.605;4.443870968;4.858929194;0.060288604;1.608441099;3.3;112.5;50;99.053;92.67;0.29
72;B072;Product 2;28/12/2018;12;Q4;2018;2018-Q4;Ref_5;2.01;0.19;94.1;1.52;31.7;163.707;0.05;4.719;37.615;126.114;261.773;2.605;4.74073752;5.352496086;0.119422673;1.717247409;3.2;112.5;55;99.29;90.67;0.28
77;B077;Product 4;05/01/2019;1;Q1;2019;2019-Q1;Ref_4;0;0.08;94.4;1.31;22.97;128.636;0.0499;4.718;31.909;111.443;236.754;3.589;4.671866078;9.469089022;0.162732781;1.047094254;5.2;451.5;88;98.368;90.67;0.05
78;B078;Product 4;06/01/2019;1;Q1;2019;2019-Q1;Ref_4;0;0.08;94.4;1.31;22.97;128.636;0.0499;4.718;31.909;111.443;236.754;3.589;3.495600414;8.858788506;0.102302759;1.047094254;5.2;451;88;98.946;83.83;0.05
79;B079;Product 4;08/01/2019;1;Q1;2019;2019-Q1;Ref_4;0;0.16;94.3;1.64;35.37;150.166;0.0499;4.718;31.909;111.443;236.754;3.589;3.746125939;9.058367876;0.110758086;1.035195456;5.3;452.5;87;98.802;89.17;0.08
82;B082;Product 3;21/01/2019;1;Q1;2019;2019-Q1;Ref_2;1.12;0.14;95;0;25.74;163.303;0.0499;4.718;31.909;111.443;236.754;3.589;3.193245516;8.786988222;0.758931162;1.08019518;3.8;225.5;58;90.568;89.33;0.09
88;B088;Product 1;01/02/2019;2;Q1;2019;2019-Q1;Ref_3;2;0.33;93.7;3.56;49.08;172.07;0.0499;4.718;31.909;111.443;236.754;3.167;4.616160389;4.663061968;0.052168124;1.504830814;3.4;113.5;49;94.697;95.67;0.06
89;B089;Product 1;03/02/2019;2;Q1;2019;2019-Q1;Ref_3;2;0.39;93.7;3.56;49.08;172.07;0.0499;4.718;31.909;111.443;236.754;3.167;4.75884434;4.455896226;0.054659177;1.518790284;3.3;111.5;48;98.485;91.67;0.05
92;B092;Product 4;12/02/2019;2;Q1;2019;2019-Q1;Ref_3;2.11;0.47;93.5;3.89;48.58;186.96;0.0499;4.718;31.909;111.443;236.754;3.589;7.018125401;11.35385983;0.204500004;1.164251653;5.2;443.5;96;97.913;90;0.05
93;B093;Product 4;18/02/2019;2;Q1;2019;2019-Q1;Ref_3;2.11;0.47;93.5;3.89;48.58;186.96;0.0499;4.718;31.909;111.443;236.754;3.589;4.371087038;11.86195569;0.1624414;1.236541788;5;451;100;98.802;87.25;0.12
95;B095;Product 1;18/02/2019;2;Q1;2019;2019-Q1;Ref_5;1.64;0.18;94.4;2.99;57.3;173.586;0.0499;4.718;31.909;111.443;236.754;3.167;5.059834123;4.455924171;0.054243193;1.392224427;3.3;112;44;97.348;94.5;0.24
96;B096;Product 1;20/02/2019;2;Q1;2019;2019-Q1;Ref_5;1.64;0.18;94.4;2.99;57.3;173.586;0.0499;4.718;31.909;111.443;236.754;3.167;5.288507109;4.953317536;0.058049667;1.645356141;3.3;110.5;52;97.348;90.83;0.25
97;B097;Product 1;20/02/2019;2;Q1;2019;2019-Q1;Ref_5;1.64;0.18;94.4;2.99;57.3;173.586;0.0499;4.718;31.909;111.443;236.754;3.167;5.187799043;5.154425837;0.055947199;1.676997605;3.3;112;53;96.591;95.5;0.25
98;B098;Product 1;21/02/2019;2;Q1;2019;2019-Q1;Ref_5;1.64;0.18;94.4;2.99;57.3;173.586;0.0499;4.718;31.909;111.443;236.754;3.167;5.485596222;5.050531287;0.059521942;1.708639069;3.3;112.5;54;98.106;95.5;0.26
99;B099;Product 1;22/02/2019;2;Q1;2019;2019-Q1;Ref_5;1.64;0.18;94.4;2.99;57.3;173.586;0.0499;4.718;31.909;111.443;236.754;3.167;5.367810651;5.255621302;0.064449904;1.538774366;3.5;113;56;98.106;93.67;0.25
100;B100;Product 1;22/02/2019;2;Q1;2019;2019-Q1;Ref_5;1.64;0.18;94.4;2.99;57.3;173.586;0.0499;4.718;31.909;111.443;236.754;3.167;5.012895662;5.052520516;0.058613488;1.740280533;3.3;113;55;98.485;94;0.25
101;B101;Product 1;24/02/2019;2;Q1;2019;2019-Q1;Ref_5;1.64;0.18;94.4;2.99;57.3;173.586;0.0499;4.718;31.909;111.443;236.754;3.167;5.254171705;4.860217654;0.059671831;1.740280533;3.3;112.5;55;95.833;90.83;0.25
102;B102;Product 1;25/02/2019;2;Q1;2019;2019-Q1;Ref_5;1.64;0.18;94.4;2.99;57.3;173.586;0.0499;4.718;31.909;111.443;236.754;3.167;5.338515081;4.955568445;0.060276863;1.740280533;3.3;112.5;55;99.242;91;0.26
103;B103;Product 1;25/02/2019;2;Q1;2019;2019-Q1;Ref_5;1.64;0.18;94.4;2.99;57.3;173.586;0.0499;4.718;31.909;111.443;236.754;3.167;5.191288783;4.954002389;0.060293263;1.645356141;3.3;113;52;96.591;94.83;0.26
104;B104;Product 1;26/02/2019;2;Q1;2019;2019-Q1;Ref_5;1.64;0.18;94.4;2.99;57.3;173.586;0.0499;4.718;31.909;111.443;236.754;3.167;5.089675174;4.953828306;0.056436644;1.645356141;3.3;111.5;52;99.242;92.67;0.25
105;B105;Product 1;27/02/2019;2;Q1;2019;2019-Q1;Ref_5;1.64;0.18;94.4;2.99;57.3;173.586;0.0499;4.718;31.909;111.443;236.754;3.167;5.048803828;5.055861244;0.053402549;1.708639069;3.3;113.5;54;96.591;92.33;0.27
94;B094;Product 2;27/02/2019;2;Q1;2019;2019-Q1;Ref_4;0;0.13;94.9;1.55;48.52;174.065;0.05;4.718;31.909;111.443;236.754;3.167;5.510283626;4.267316394;0.268419614;1.779692769;3.3;114;57;98.485;88.17;0.05
106;B106;Product 4;27/02/2019;2;Q1;2019;2019-Q1;Ref_5;1.38;0.18;94.7;1.42;26.75;139.624;0.05;4.718;31.909;111.443;236.754;3.167;4.412601958;9.459991843;0.125781586;1.082790649;5.3;451.5;91;98.264;92;0.23
107;B107;Product 4;27/02/2019;2;Q1;2019;2019-Q1;Ref_5;1.58;0.19;94.5;1.33;23.32;150.697;0.05;4.718;31.909;111.443;236.754;3.167;4.477366924;9.260780329;0.144401346;1.142284641;5.3;451;96;99.215;86.42;0.24
108;B108;Product 1;01/03/2019;3;Q1;2019;2019-Q1;Ref_4;0;0.11;94.4;1.73;52;186.602;0.05;4.718;31.909;111.443;236.754;3.167;4.48986569;4.57008547;0.04866298;1.56625248;3.4;113;51;95.455;94.17;0.12
109;B109;Product 1;02/03/2019;3;Q1;2019;2019-Q1;Ref_4;0;0.11;94.4;1.73;52;186.602;0.05;4.718;31.909;111.443;236.754;3.167;4.151309524;4.763809524;0.052582979;1.596963313;3.4;112.5;52;98.485;95.67;0.06
110;B110;Product 1;02/03/2019;3;Q1;2019;2019-Q1;Ref_4;0;0.11;94.4;1.73;52;186.602;0.05;4.718;31.909;111.443;236.754;3.167;4.169880952;4.776904762;0.046472112;1.576001951;3.4;112.5;53;98.864;94.67;0.11
111;B111;Product 1;02/03/2019;3;Q1;2019;2019-Q1;Ref_4;0;0.11;94.4;1.73;52;186.602;0.05;4.718;31.909;111.443;236.754;3.167;4.26076555;4.661363636;0.052048405;1.56625248;3.4;112.5;51;97.727;91.5;0.06
112;B112;Product 1;02/03/2019;3;Q1;2019;2019-Q1;Ref_4;0;0.11;94.4;1.73;52;186.602;0.05;4.718;31.909;111.443;236.754;3.167;4.299879952;4.66482593;0.05257092;1.596963313;3.4;112;52;97.348;93.83;0.14
113;B113;Product 1;03/03/2019;3;Q1;2019;2019-Q1;Ref_4;0;0.11;94.4;1.73;52;186.602;0.05;4.718;31.909;111.443;236.754;3.167;4.34297619;4.662857143;0.056530001;1.535541647;3.4;111;50;97.727;89.5;0.13
114;B114;Product 1;03/03/2019;3;Q1;2019;2019-Q1;Ref_4;0;0.11;94.4;1.73;52;186.602;0.05;4.718;31.909;111.443;236.754;3.167;4.39964497;4.765798817;0.049900206;1.676997605;3.3;112;53;98.485;89.83;0.12
